machine_id,machine_type,install_date,location,capacity_units_per_hour,manufacturer
M001,Injection_Molder,2021-03-30,Plant_A_Floor2,437,Siemens
M002,Robotic_Arm,2019-04-05,Plant_A_Floor1,51,Haas
M003,Conveyor_Belt,2018-01-22,Plant_A_Floor2,439,Haas
M004,Robotic_Arm,2020-01-18,Plant_A_Floor1,103,ABB
M005,Robotic_Arm,2019-04-20,Plant_A_Floor2,155,Haas
M006,Hydraulic_Press,2020-12-18,Plant_B_Floor2,309,ABB
M007,Conveyor_Belt,2023-08-10,Plant_B_Floor2,359,Siemens
M008,Conveyor_Belt,2020-09-02,Plant_B_Floor1,240,Bosch
M009,Conveyor_Belt,2022-12-12,Plant_B_Floor2,451,Bosch
M010,Robotic_Arm,2018-07-09,Plant_B_Floor1,267,Bosch
M011,Injection_Molder,2019-07-17,Plant_B_Floor2,93,Haas
M012,Conveyor_Belt,2023-03-15,Plant_A_Floor1,211,Siemens
M013,Welding_Robot,2021-06-21,Plant_B_Floor2,251,Haas
M014,Robotic_Arm,2022-03-09,Plant_B_Floor1,495,Haas
M015,Hydraulic_Press,2019-10-09,Plant_B_Floor1,319,Siemens
M016,Injection_Molder,2023-08-31,Plant_A_Floor2,400,Siemens
M017,Welding_Robot,2021-07-21,Plant_A_Floor1,353,Siemens
M018,Welding_Robot,2019-08-24,Plant_B_Floor2,320,Siemens
M019,Hydraulic_Press,2023-08-24,Plant_A_Floor2,264,Bosch
M020,Injection_Molder,2018-08-30,Plant_B_Floor2,301,FANUC
